popularity,budget,title,cast,director,keywords,genres,companies,score
32.985763,150000000,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6.5
28.419936,150000000,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,future|chase|post-apocalyptic|dystopia|australia,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,7.1
13.112507,110000000,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,based on novel|revolution|dystopia|sequel|dystopic future,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,6.3
11.173104,200000000,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,android|spaceship|jedi|space opera|3d,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,7.5
9.335014,190000000,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,car race|speed|revenge|suspense|car,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,7.3
9.1107,135000000,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,7.2
8.654359,155000000,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,5.8
7.6674,108000000,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,based on novel|mars|nasa|isolation|botanist,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,7.6
7.404165,74000000,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6.5
6.326804,175000000,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,dream|cartoon|imaginary friend|animation|kid,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,8.0
6.200282,245000000,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,6.2
6.189369,176000003,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,5.2
6.118847,15000000,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,7.6
5.984995,88000000,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,video game|nerd|alien attack|3d|pixels,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,5.8
